dataset,instance,solver,status,makespan,time_ms,time_limit_s,workers,seed,starts,output_format_ok,output_line
sm_j10,PSP60.SCH,solver_3,feasible,23,1600.6,2.00,8,42,120,true,"0, 5, 0, 10, 11, 2, 19, 16, 19, 16"
sm_j10,PSP61.SCH,solver_3,feasible,58,1601.8,2.00,8,42,120,true,"9, 0, 17, 24, 31, 47, 53, 33, 57, 40"
sm_j10,PSP62.SCH,solver_3,feasible,52,1601.8,2.00,8,42,120,true,"18, 0, 31, 12, 48, 27, 9, 51, 36, 42"
sm_j10,PSP63.SCH,solver_3,feasible,60,1601.5,2.00,8,42,120,true,"0, 9, 0, 17, 23, 37, 46, 27, 54, 57"
sm_j10,PSP64.SCH,solver_3,feasible,47,1600.9,2.00,8,42,120,true,"0, 17, 18, 7, 32, 44, 40, 22, 33, 46"
sm_j10,PSP65.SCH,solver_3,feasible,49,1601.4,2.00,8,42,120,true,"9, 35, 28, 22, 5, 0, 12, 41, 47, 28"
sm_j10,PSP66.SCH,solver_3,feasible,52,1600.3,2.00,8,42,120,true,"16, 19, 0, 9, 21, 44, 37, 51, 29, 49"
sm_j10,PSP67.SCH,solver_3,feasible,67,1600.2,2.00,8,42,120,true,"20, 30, 40, 0, 10, 2, 46, 59, 54, 63"
sm_j10,PSP68.SCH,solver_3,feasible,50,1602.5,2.00,8,42,120,true,"7, 38, 14, 0, 20, 42, 29, 47, 38, 20"
sm_j10,PSP69.SCH,solver_3,feasible,45,1600.1,2.00,8,42,120,true,"0, 33, 41, 11, 20, 2, 16, 42, 36, 25"
sm_j10,PSP70.SCH,solver_3,feasible,54,1601.3,2.00,8,42,120,true,"16, 0, 21, 23, 10, 52, 53, 45, 26, 36"
sm_j10,PSP71.SCH,solver_3,feasible,36,1602.7,2.00,8,42,120,true,"0, 2, 6, 2, 17, 15, 26, 24, 15, 6"
sm_j10,PSP72.SCH,solver_3,feasible,38,1603.7,2.00,8,42,120,true,"0, 0, 17, 17, 4, 31, 25, 9, 35, 7"
sm_j10,PSP73.SCH,solver_3,feasible,26,1601.1,2.00,8,42,120,true,"0, 4, 15, 12, 15, 10, 23, 0, 10, 23"
